State (India Ev Ice Adoption Large.Csv),Charging Stations (India Ev Ice Adoption Large.Csv),Ev Vehicle Registrations (India Ev Ice Adoption Large.Csv)
Kerala,354,28295
Chhattisgarh,622,12921
Karnataka,855,35271
Chhattisgarh,802,16389
Gujarat,451,13557
Rajasthan,143,19414
Madhya Pradesh,787,14059
Rajasthan,90,8632
Uttar Pradesh,624,15172
West Bengal,239,3483
Karnataka,377,10483
Maharashtra,50,11480
Odisha,700,2723
Assam,145,8776
Rajasthan,207,10972
Delhi,196,15097
Gujarat,453,4188
Delhi,1326,1526
Jharkhand,448,0
Telangana,454,13507
Odisha,84,8357
Assam,81,13735
Punjab,695,4471
Tamil Nadu,726,13271
Gujarat,425,4080
Delhi,452,12061
Bihar,572,10705
Karnataka,760,4840
Kerala,685,9271
Odisha,905,4888
Maharashtra,457,13198
Punjab,331,1422
Telangana,544,19168
Uttar Pradesh,539,25987
Bihar,94,6158
Odisha,544,12547
Karnataka,908,29445
Jharkhand,97,2998
West Bengal,790,7610
Gujarat,244,31559
Odisha,982,6864
Telangana,329,1553
Madhya Pradesh,163,0
Delhi,191,3290
Jharkhand,153,6903
Gujarat,748,18209
Maharashtra,387,21715
Jharkhand,676,23452
Punjab,571,12872
Karnataka,960,0
West Bengal,868,17086
Bihar,676,1094
Tamil Nadu,812,23981
Delhi,572,13237
Delhi,83,21482
Assam,404,15715
Kerala,429,4145
Bihar,958,21013
Madhya Pradesh,87,216
Jharkhand,140,0
Delhi,990,22013
Maharashtra,129,33385
Assam,670,13920
Karnataka,742,46748
Odisha,400,0
Rajasthan,279,22154
Rajasthan,720,23471
Delhi,131,8132
Delhi,279,20371
Chhattisgarh,190,3937
Chhattisgarh,876,1762
Jharkhand,714,20777
Uttar Pradesh,293,55950
Punjab,448,0
Madhya Pradesh,493,0
Kerala,602,18858
Odisha,163,2036
Punjab,408,8161
Rajasthan,438,24995
Haryana,146,14203
Chhattisgarh,33,15485
Delhi,600,20611
Odisha,179,19701
Maharashtra,494,41569
West Bengal,288,0
Rajasthan,465,12252
Telangana,520,5104
Rajasthan,574,22191
Bihar,513,3870
Madhya Pradesh,488,26490
Chhattisgarh,323,12018
West Bengal,422,4104
Assam,495,9553
Rajasthan,630,13499
Assam,636,19932
Kerala,292,21037
Uttar Pradesh,377,15261
Delhi,723,9828
Telangana,341,18115
Uttar Pradesh,541,8029
Bihar,122,29705
Punjab,348,25685
Kerala,161,5539
Haryana,664,3410
Chhattisgarh,504,18432
Tamil Nadu,439,9120
Assam,564,10295
Haryana,666,8888
Punjab,398,15748
Chhattisgarh,544,6936
Delhi,348,27428
Madhya Pradesh,447,3507
West Bengal,347,16473
Assam,432,20211
Haryana,624,5584
Jharkhand,183,26928
Punjab,860,738
Uttar Pradesh,725,5059
Tamil Nadu,32,8968
Odisha,210,20120
Odisha,159,4356
Maharashtra,875,10986
Karnataka,254,15239
Uttar Pradesh,99,10736
Madhya Pradesh,709,3054
Bihar,267,851
Maharashtra,679,20813
Assam,318,12453
Tamil Nadu,224,41
Haryana,708,18609
Kerala,666,20835
West Bengal,272,4935
Jharkhand,870,6216
Gujarat,46,7475
Gujarat,140,12645
Maharashtra,559,19245
Delhi,24,15750
West Bengal,268,23616
Kerala,731,7500
Rajasthan,10,9327
Gujarat,160,7738
Telangana,550,18456
Karnataka,228,0
Tamil Nadu,518,12688
Telangana,50,6833
Jharkhand,127,20180
Madhya Pradesh,479,1866
Tamil Nadu,1271,20817
Bihar,332,2639
Gujarat,752,16793
Uttar Pradesh,46,23006
Madhya Pradesh,290,0
Gujarat,544,13600
Bihar,571,8675
Assam,593,0
Tamil Nadu,244,15279
Rajasthan,835,10382
Tamil Nadu,287,13561
West Bengal,146,9235
Telangana,446,15185
Gujarat,32,7264
Kerala,706,9609
Chhattisgarh,481,11347
Chhattisgarh,726,5224
Uttar Pradesh,77,13348
Uttar Pradesh,792,5139
Gujarat,438,5656
Madhya Pradesh,90,8474
Telangana,537,9311
Rajasthan,449,6878
Jharkhand,829,13138
Punjab,215,12675
Telangana,384,8070
Uttar Pradesh,629,24590
Haryana,979,0
West Bengal,354,1002
Haryana,457,13397
Maharashtra,858,17434
Uttar Pradesh,687,6901
Telangana,726,4831
Uttar Pradesh,503,16121
Madhya Pradesh,894,8916
Jharkhand,1250,11562
Uttar Pradesh,130,5540
Karnataka,440,29574
Uttar Pradesh,352,27777
Karnataka,691,15907
Telangana,522,383
Maharashtra,492,5065
Bihar,826,17727
Madhya Pradesh,340,15084
Uttar Pradesh,299,0
Punjab,806,29174
Tamil Nadu,306,8926
Gujarat,962,583
Chhattisgarh,837,10803
Gujarat,416,5292
Karnataka,443,16338
Tamil Nadu,791,9889
Assam,769,4695
Chhattisgarh,1029,17520
Chhattisgarh,346,17709
West Bengal,453,641
Delhi,1014,10239
Jharkhand,610,5311
Assam,545,13665
Maharashtra,197,31887
Delhi,349,9742
Rajasthan,970,10778
Delhi,460,11827
Telangana,486,28578
Haryana,502,4525
Rajasthan,714,7819
Jharkhand,1249,7960
Assam,506,1473
Haryana,214,9091
Delhi,51,6526
Delhi,520,5587
Punjab,657,8864
Uttar Pradesh,468,5133
Tamil Nadu,318,15331
Odisha,267,19644
Madhya Pradesh,189,21736
Karnataka,618,20062
Chhattisgarh,421,13112
Karnataka,269,21582
Bihar,135,6510
Kerala,456,12169
Chhattisgarh,415,7526
Uttar Pradesh,601,9778
Maharashtra,610,0
West Bengal,494,11657
West Bengal,130,7376
Tamil Nadu,671,3392
Assam,755,6874
Madhya Pradesh,205,16311
Maharashtra,404,6084
Chhattisgarh,1066,0
Chhattisgarh,249,16497
Chhattisgarh,508,10703
Telangana,1129,19757
Jharkhand,24,26433
Bihar,541,14889
Telangana,653,21477
Madhya Pradesh,428,10864
Chhattisgarh,191,18874
Madhya Pradesh,932,18006
Punjab,255,1515
Jharkhand,580,13080
Telangana,467,0
Jharkhand,464,10238
Telangana,555,10884
Madhya Pradesh,322,1835
Delhi,51,2753
Maharashtra,201,7208
Haryana,683,8989
Telangana,344,0
Telangana,399,32000
Gujarat,290,2206
Jharkhand,608,10409
Haryana,614,0
Bihar,701,2281
Bihar,1001,74
Maharashtra,431,1381
Delhi,802,19795
Telangana,478,21026
Madhya Pradesh,818,583
Punjab,1001,0
Odisha,621,14603
Haryana,693,0
Uttar Pradesh,524,10083
Delhi,854,16695
Odisha,194,14762
Gujarat,873,0
Odisha,36,22057
Assam,10,16519
Telangana,507,5753
West Bengal,659,13511
Karnataka,1116,11149
Delhi,910,1008
Telangana,322,15397
Assam,634,0
Odisha,686,19185
Rajasthan,1097,15630
Haryana,512,6451
Jharkhand,200,17365
Kerala,134,25349
Uttar Pradesh,217,4047
West Bengal,24,7492
Punjab,559,15229
Kerala,558,41503
Telangana,1247,16615
Chhattisgarh,534,8482
Uttar Pradesh,10,1920
Telangana,520,492
West Bengal,786,24240
Jharkhand,375,18760
West Bengal,913,2533
Madhya Pradesh,553,16782
Madhya Pradesh,302,19769
Madhya Pradesh,411,8399
Madhya Pradesh,832,28964
Maharashtra,106,6282
Maharashtra,377,8376
Maharashtra,728,41703
Maharashtra,407,29542
Maharashtra,531,35004
Maharashtra,359,13876
Maharashtra,924,2246
Maharashtra,351,11951
Maharashtra,1052,10732
Maharashtra,386,9756
Maharashtra,197,30677
Maharashtra,521,23065
Maharashtra,425,11700
Maharashtra,508,19326
Maharashtra,236,17658
Maharashtra,770,12247
Maharashtra,1049,2525
Maharashtra,65,6396
Maharashtra,443,5874
Maharashtra,996,14499
Maharashtra,573,5998
Maharashtra,308,14130
Maharashtra,579,11492
Maharashtra,306,4773
Maharashtra,380,17800
Maharashtra,1126,27957
Maharashtra,441,3945
Maharashtra,429,14993
Maharashtra,555,10732
Maharashtra,721,11304
Maharashtra,260,18091
Maharashtra,471,15818
Maharashtra,179,10458
Maharashtra,1175,2567
Maharashtra,486,7119
Maharashtra,197,9658
Maharashtra,889,28403
Maharashtra,38,4254
Maharashtra,563,14399
Maharashtra,991,3392
Maharashtra,172,5897
Maharashtra,367,25106
Maharashtra,270,10721
Maharashtra,308,28187
Maharashtra,673,9250
Maharashtra,785,27825
Maharashtra,32,20073
Odisha,291,7195
Odisha,89,11159
Odisha,26,10884
Odisha,619,13658
Odisha,908,2472
Odisha,1082,9956
Odisha,931,9837
Odisha,744,21145
Odisha,557,9265
Odisha,678,28022
Odisha,401,19748
Odisha,849,3568
Odisha,14,16035
Odisha,298,10708
Odisha,469,24199
Odisha,542,20659
Odisha,977,17260
Odisha,1189,13612
Odisha,477,13661
Odisha,10,2257
Odisha,370,9798
Odisha,218,3528
Odisha,697,24822
Odisha,224,8934
Odisha,378,8081
Odisha,447,0
Odisha,546,11733
Odisha,376,39412
Odisha,826,9310
Odisha,888,3380
Odisha,1009,5563
Odisha,614,14678
Odisha,104,8896
Odisha,293,8845
Odisha,630,13147
Odisha,1008,4623
Odisha,20,2354
Odisha,426,1222
Odisha,97,3194
Odisha,1031,6036
Odisha,463,21950
Odisha,530,12378
Odisha,667,11939
Odisha,444,17629
Odisha,811,12512
Odisha,592,21019
Odisha,655,12918
Odisha,329,2135
Odisha,458,33106
Odisha,432,18384
Odisha,779,1229
Odisha,68,2852
Odisha,312,0
Odisha,102,17139
Odisha,185,19372
Odisha,459,2658
Punjab,540,24218
Punjab,264,1397
Punjab,1031,2815
Punjab,498,10734
Punjab,845,2777
Punjab,482,0
Punjab,324,15568
Punjab,373,26219
Punjab,359,5061
Punjab,78,8257
Punjab,625,21784
Punjab,41,10145
Punjab,123,11715
Punjab,1015,8008
Punjab,492,19307
Punjab,519,8082
Punjab,561,6214
Punjab,959,6033
Punjab,49,26226
Punjab,412,7668
Punjab,633,9240
Punjab,1221,6011
Punjab,427,18801
Punjab,10,4979
Punjab,296,7261
Punjab,651,9988
Punjab,140,28533
Punjab,374,0
Punjab,491,3578
Punjab,885,1983
Punjab,954,6411
Punjab,436,5893
Punjab,656,10341
Punjab,337,12876
Punjab,254,31799
Punjab,583,10
Punjab,319,74
Punjab,427,14269
Punjab,661,10073
Rajasthan,684,284
Rajasthan,647,10115
Rajasthan,943,30994
Rajasthan,349,2114
Rajasthan,233,19528
Rajasthan,462,11313
Rajasthan,649,7616
Rajasthan,767,6030
Rajasthan,985,253
Rajasthan,296,4011
Rajasthan,701,3209
Rajasthan,20,11412
Rajasthan,347,0
Rajasthan,418,0
Rajasthan,788,33482
Rajasthan,383,5916
Rajasthan,968,17571
Rajasthan,664,32912
Rajasthan,335,0
Rajasthan,745,22739
Rajasthan,565,5411
Rajasthan,1072,15269
Rajasthan,131,140
Rajasthan,277,18643
Rajasthan,346,20716
Rajasthan,397,10690
Rajasthan,447,61544
Rajasthan,642,25
Rajasthan,254,9915
Rajasthan,363,9879
Rajasthan,529,15474
Rajasthan,929,15123
Rajasthan,1131,5967
Rajasthan,614,3350
Rajasthan,1150,9949
Rajasthan,495,4072
Rajasthan,442,5745
Tamil Nadu,733,12334
Tamil Nadu,648,21905
Tamil Nadu,26,20210
Tamil Nadu,286,6240
Tamil Nadu,297,12160
Tamil Nadu,479,7907
Tamil Nadu,33,15807
Tamil Nadu,409,0
Tamil Nadu,711,9966
Tamil Nadu,451,18513
Tamil Nadu,602,4830
Tamil Nadu,382,8664
Tamil Nadu,671,24803
Tamil Nadu,657,33591
Tamil Nadu,461,11986
Tamil Nadu,295,6384
Tamil Nadu,403,7777
Tamil Nadu,309,29308
Tamil Nadu,658,23637
Tamil Nadu,519,41915
Tamil Nadu,548,7363
Tamil Nadu,725,22103
Tamil Nadu,234,18488
Tamil Nadu,673,2348
Tamil Nadu,309,20295
Tamil Nadu,10,20622
Tamil Nadu,363,15446
Tamil Nadu,413,19320
Tamil Nadu,617,15829
Tamil Nadu,278,19393
Tamil Nadu,287,48358
Tamil Nadu,402,8823
Tamil Nadu,610,3860
Tamil Nadu,724,22429
Tamil Nadu,679,10772
Tamil Nadu,347,559
Tamil Nadu,409,33841
Tamil Nadu,581,837
Tamil Nadu,527,212
Tamil Nadu,666,12018
Tamil Nadu,294,7066
Tamil Nadu,567,15547
Tamil Nadu,660,0
Tamil Nadu,229,14985
Tamil Nadu,367,11894
Tamil Nadu,196,17700
Tamil Nadu,761,17161
Tamil Nadu,115,10135
Telangana,1005,240
Telangana,411,10187
Telangana,443,19592
Telangana,505,35237
Telangana,183,11128
Telangana,115,4575
Telangana,340,9357
Telangana,403,7527
Telangana,307,13031
Telangana,457,15872
Telangana,557,5542
Telangana,945,6277
Telangana,743,12354
Telangana,70,8990
Telangana,868,10712
Telangana,102,6762
Telangana,10,17457
Telangana,85,24706
Telangana,815,0
Telangana,51,19940
Telangana,227,35355
Telangana,926,10409
Telangana,162,4365
Telangana,336,11634
Telangana,367,16644
Telangana,760,2130
Telangana,552,21583
Telangana,370,13408
Telangana,962,7916
Telangana,587,23808
Telangana,554,18670
Telangana,724,5092
Telangana,1083,731
Telangana,231,6602
Telangana,963,4179
Telangana,479,7289
Telangana,612,13610
Telangana,105,18148
Telangana,721,30131
Telangana,356,14571
Telangana,770,24811
Telangana,461,11823
Telangana,612,12787
Telangana,222,15281
Telangana,642,7427
Telangana,1002,3648
Telangana,453,35670
Telangana,508,23717
Telangana,593,17700
Uttar Pradesh,615,20697
Uttar Pradesh,380,37547
Uttar Pradesh,445,28903
Uttar Pradesh,464,9190
Uttar Pradesh,727,8940
Uttar Pradesh,537,8532
Uttar Pradesh,607,8458
Uttar Pradesh,634,3816
Uttar Pradesh,878,7112
Uttar Pradesh,186,18053
Uttar Pradesh,233,14121
Uttar Pradesh,383,7102
Uttar Pradesh,66,23611
Uttar Pradesh,515,12574
Uttar Pradesh,378,11574
Uttar Pradesh,461,14136
Uttar Pradesh,253,0
Uttar Pradesh,871,4848
Uttar Pradesh,1061,12743
Uttar Pradesh,813,11821
Uttar Pradesh,341,9275
Uttar Pradesh,708,0
Uttar Pradesh,254,5108
Uttar Pradesh,259,4520
Uttar Pradesh,638,802
Uttar Pradesh,764,21108
Uttar Pradesh,798,20069
Uttar Pradesh,368,14122
Uttar Pradesh,587,28803
Uttar Pradesh,637,26556
Uttar Pradesh,661,8790
Uttar Pradesh,1021,15076
Uttar Pradesh,832,8564
Uttar Pradesh,721,14791
Uttar Pradesh,443,20512
Uttar Pradesh,206,18491
Uttar Pradesh,666,18017
Uttar Pradesh,236,7390
Uttar Pradesh,339,8762
Uttar Pradesh,701,23111
Uttar Pradesh,920,15552
Uttar Pradesh,126,18397
Uttar Pradesh,501,21307
Uttar Pradesh,639,12996
Uttar Pradesh,288,2280
Uttar Pradesh,348,13713
Uttar Pradesh,1011,4703
Uttar Pradesh,428,7005
Uttar Pradesh,448,6912
Uttar Pradesh,534,7539
Uttar Pradesh,756,12942
Uttar Pradesh,618,2141
Uttar Pradesh,721,6516
Uttar Pradesh,272,3112
West Bengal,395,12144
West Bengal,52,2105
West Bengal,581,13621
West Bengal,811,865
West Bengal,366,19243
West Bengal,490,7338
West Bengal,756,1700
West Bengal,96,0
West Bengal,372,16372
West Bengal,561,28239
West Bengal,336,32967
West Bengal,1107,2467
West Bengal,542,11394
West Bengal,570,15733
West Bengal,110,8819
West Bengal,601,0
West Bengal,139,12296
West Bengal,334,7608
West Bengal,231,0
West Bengal,474,23489
West Bengal,630,23479
West Bengal,239,14897
West Bengal,557,0
West Bengal,45,6533
West Bengal,594,43
West Bengal,1378,0
West Bengal,258,15834
West Bengal,286,21749
West Bengal,184,6036
West Bengal,393,5335
West Bengal,636,24285
West Bengal,413,2002
West Bengal,112,0
West Bengal,879,12207
West Bengal,469,18386
West Bengal,852,12359
West Bengal,905,12058
West Bengal,187,15989
West Bengal,234,382
West Bengal,708,0
West Bengal,719,19124
West Bengal,214,14037
West Bengal,384,8170
West Bengal,197,10330
West Bengal,617,10245
West Bengal,301,7566
West Bengal,659,6143
West Bengal,29,8621
West Bengal,613,21258
West Bengal,717,7966
West Bengal,799,18296
West Bengal,413,17529
West Bengal,508,23558
West Bengal,198,3497
West Bengal,353,22
West Bengal,52,14466
Assam,65,17735
Assam,574,0
Assam,577,0
Assam,535,29688
Assam,420,8974
Assam,547,9966
Assam,786,37148
Assam,420,11983
Assam,806,27282
Assam,656,21494
Assam,165,2796
Assam,577,14404
Assam,977,2794
Assam,105,24942
Assam,476,10709
Assam,467,33448
Assam,913,14990
Assam,92,14916
Assam,1023,24107
Assam,768,17125
Assam,591,7051
Assam,486,9840
Assam,602,6449
Assam,56,1077
Assam,145,0
Assam,667,7698
Assam,684,8666
Assam,797,11619
Assam,514,2436
Assam,687,21866
Assam,561,2243
Assam,614,30594
Assam,638,22892
Assam,842,3140
Assam,405,23317
Assam,117,22332
Assam,274,8327
Assam,454,4696
Assam,766,24448
Assam,917,11605
Assam,529,6601
Assam,402,19461
Assam,937,31746
Assam,914,6488
Assam,113,4666
Assam,347,22490
Assam,633,2036
Bihar,390,12013
Bihar,618,3810
Bihar,907,0
Bihar,785,4631
Bihar,565,2588
Bihar,674,10192
Bihar,374,0
Bihar,971,6732
Bihar,622,31547
Bihar,547,11624
Bihar,77,5427
Bihar,214,13200
Bihar,417,2106
Bihar,407,11245
Bihar,694,6827
Bihar,403,25840
Bihar,97,32298
Bihar,132,15469
Bihar,553,4720
Bihar,684,10234
Bihar,325,6877
Bihar,445,7057
Bihar,305,26395
Bihar,600,9013
Bihar,506,19672
Bihar,225,16730
Bihar,729,14292
Bihar,195,15968
Bihar,860,15255
Bihar,875,8735
Bihar,786,46743
Bihar,900,4015
Bihar,76,12107
Bihar,235,5414
Bihar,318,0
Bihar,377,23446
Bihar,234,223
Bihar,756,23099
Bihar,661,15481
Bihar,540,22565
Bihar,626,13052
Bihar,541,18387
Bihar,315,9919
Bihar,926,22318
Bihar,39,8605
Bihar,374,14596
Bihar,540,3501
Bihar,697,12367
Bihar,614,18528
Bihar,911,3810
Bihar,969,429
Bihar,790,5455
Bihar,1368,11506
Bihar,517,32813
Bihar,372,7931
Bihar,682,20558
Bihar,753,9864
Bihar,248,4106
Bihar,617,16770
Bihar,877,306
Chhattisgarh,536,17784
Chhattisgarh,523,13350
Chhattisgarh,773,8321
Chhattisgarh,813,46483
Chhattisgarh,576,11668
Chhattisgarh,645,14431
Chhattisgarh,138,9831
Chhattisgarh,24,11117
Chhattisgarh,510,15568
Chhattisgarh,804,6720
Chhattisgarh,158,12679
Chhattisgarh,533,20753
Chhattisgarh,639,5868
Chhattisgarh,165,24974
Chhattisgarh,395,1219
Chhattisgarh,481,11415
Chhattisgarh,386,1663
Chhattisgarh,417,26448
Chhattisgarh,96,22804
Chhattisgarh,558,8944
Chhattisgarh,1069,7999
Chhattisgarh,453,31321
Chhattisgarh,602,15409
Chhattisgarh,734,17006
Chhattisgarh,798,0
Chhattisgarh,625,26998
Chhattisgarh,271,1386
Chhattisgarh,921,0
Chhattisgarh,976,12338
Chhattisgarh,132,1012
Chhattisgarh,577,23236
Chhattisgarh,469,18542
Chhattisgarh,67,2004
Chhattisgarh,81,5321
Chhattisgarh,242,3784
Chhattisgarh,370,11372
Chhattisgarh,404,6643
Chhattisgarh,529,1401
Chhattisgarh,251,19604
Chhattisgarh,663,26807
Chhattisgarh,819,29684
Chhattisgarh,508,9760
Chhattisgarh,36,1865
Chhattisgarh,12,0
Chhattisgarh,119,5755
Chhattisgarh,269,10507
Delhi,346,18038
Delhi,750,3831
Delhi,329,5222
Delhi,715,10719
Delhi,406,6061
Delhi,315,22924
Delhi,395,3407
Delhi,697,10532
Delhi,145,7870
Delhi,318,0
Delhi,700,30925
Delhi,876,14150
Delhi,532,10550
Delhi,647,13241
Delhi,982,8753
Delhi,379,15324
Delhi,588,15976
Delhi,578,6708
Delhi,726,6211
Delhi,748,13608
Delhi,692,4529
Delhi,105,1497
Delhi,248,21986
Delhi,266,9969
Delhi,397,27974
Delhi,179,3963
Delhi,401,7337
Delhi,555,21996
Delhi,791,5404
Delhi,258,12699
Delhi,506,29008
Delhi,568,23595
Delhi,523,9665
Delhi,726,6588
Delhi,680,2628
Delhi,445,11000
Delhi,1260,24364
Delhi,949,0
Delhi,148,0
Delhi,851,359
Delhi,373,23416
Delhi,570,6973
Delhi,273,4651
Gujarat,666,11421
Gujarat,857,7196
Gujarat,607,23219
Gujarat,148,8641
Gujarat,998,15692
Gujarat,68,0
Gujarat,321,23614
Gujarat,988,11222
Gujarat,713,7571
Gujarat,733,11367
Gujarat,267,550
Gujarat,63,5948
Gujarat,638,23119
Gujarat,104,5700
Punjab,593,8786
Punjab,548,3666
Punjab,681,16686
Punjab,32,10546
Punjab,322,2556
Punjab,491,9938
Punjab,824,12441
Punjab,406,24898
Punjab,29,3229
Punjab,1475,6945
Punjab,582,9133
Punjab,172,10507
Punjab,627,9658
Punjab,793,26864
Punjab,10,7397
Punjab,573,14787
Punjab,649,1096
Punjab,89,14978
Punjab,403,14082
Punjab,556,11870
Punjab,669,19629
Punjab,735,15582
Punjab,782,22348
Punjab,241,18187
Punjab,153,6557
Punjab,284,31027
Punjab,347,0
Punjab,519,7860
Punjab,88,3875
Punjab,321,0
Punjab,1117,18112
Punjab,395,20627
Punjab,418,29340
Punjab,90,13150
Punjab,576,9295
Punjab,226,32655
Rajasthan,483,25453
Rajasthan,780,6739
Rajasthan,650,10764
Rajasthan,528,15275
Rajasthan,916,5201
Rajasthan,795,5271
Rajasthan,194,28289
Rajasthan,518,14196
Rajasthan,1215,5359
Rajasthan,443,10787
Rajasthan,97,13250
Rajasthan,17,2320
Rajasthan,307,4410
Rajasthan,517,25993
Rajasthan,280,7983
Rajasthan,211,18585
Rajasthan,535,25357
Rajasthan,345,0
Rajasthan,425,8673
Rajasthan,1020,16410
Rajasthan,443,2552
Rajasthan,605,13171
Rajasthan,364,21276
Rajasthan,1086,11743
Rajasthan,29,3732
Rajasthan,205,10091
Rajasthan,354,3485
Rajasthan,466,13527
Rajasthan,374,26269
Rajasthan,273,16473
Rajasthan,333,18564
Rajasthan,527,7769
Rajasthan,186,4606
Rajasthan,1048,13794
Rajasthan,472,4191
Rajasthan,760,11867
Rajasthan,353,5008
Rajasthan,137,11827
Rajasthan,691,4863
Rajasthan,870,9643
Rajasthan,761,21084
Rajasthan,417,9637
Rajasthan,407,11512
Rajasthan,268,16025
Rajasthan,1085,19107
Rajasthan,185,0
Rajasthan,210,9445
Rajasthan,458,1920
Rajasthan,78,7509
Rajasthan,180,18351
Rajasthan,381,14649
Rajasthan,697,14226
Rajasthan,874,6189
Rajasthan,237,7102
Rajasthan,1150,15612
Rajasthan,491,22638
Rajasthan,419,14159
Rajasthan,587,33068
Rajasthan,715,13464
Rajasthan,304,17222
Rajasthan,438,17478
Tamil Nadu,834,2528
Tamil Nadu,885,36392
Tamil Nadu,549,0
Tamil Nadu,878,5300
Tamil Nadu,595,20677
Tamil Nadu,260,21944
Tamil Nadu,456,2401
Tamil Nadu,545,16020
Tamil Nadu,878,10284
Tamil Nadu,669,8428
Tamil Nadu,266,15637
Tamil Nadu,211,16002
Tamil Nadu,362,16778
Tamil Nadu,585,1300
Tamil Nadu,85,11867
Tamil Nadu,890,7561
Tamil Nadu,541,19116
Tamil Nadu,800,8278
Tamil Nadu,933,13291
Tamil Nadu,438,0
Tamil Nadu,31,10593
Tamil Nadu,103,22000
Tamil Nadu,543,9778
Tamil Nadu,303,0
Tamil Nadu,532,26336
Tamil Nadu,334,4885
Tamil Nadu,1197,10602
Tamil Nadu,431,5727
Tamil Nadu,698,26326
Tamil Nadu,752,873
Tamil Nadu,298,10425
Tamil Nadu,598,3237
Tamil Nadu,207,7704
Tamil Nadu,838,2789
Tamil Nadu,683,8183
Tamil Nadu,556,5523
Tamil Nadu,559,12282
Tamil Nadu,159,8212
Tamil Nadu,591,0
Tamil Nadu,234,7607
Tamil Nadu,601,13589
Tamil Nadu,631,6327
Tamil Nadu,659,33382
Tamil Nadu,25,2096
Tamil Nadu,578,7453
Tamil Nadu,747,11507
Tamil Nadu,735,12839
Tamil Nadu,1035,24611
Tamil Nadu,110,12182
Tamil Nadu,311,21450
Tamil Nadu,410,19678
Tamil Nadu,818,8229
Telangana,983,45952
Telangana,1037,23014
Telangana,440,2893
Telangana,232,18789
Telangana,236,17578
Telangana,682,28306
Telangana,300,35129
Telangana,641,8169
Telangana,32,5648
Telangana,254,18833
Telangana,551,7212
Telangana,261,3765
Telangana,728,1105
Telangana,945,13925
Telangana,239,5709
Telangana,389,5612
Telangana,1016,16003
Telangana,136,8228
Telangana,401,4171
Telangana,520,15112
Telangana,475,8262
Telangana,120,4743
Telangana,1099,17890
Telangana,649,15004
Telangana,585,0
Telangana,1315,12394
Telangana,431,17736
Telangana,825,25782
Telangana,741,7905
Telangana,449,0
Telangana,523,2951
Telangana,593,12938
Telangana,720,5712
Telangana,625,7740
Telangana,564,21669
Telangana,517,17159
Telangana,895,16312
Telangana,47,0
Telangana,451,23418
Telangana,10,23889
Telangana,10,8548
Telangana,744,5613
Telangana,627,17569
Telangana,527,21594
Telangana,112,1655
Telangana,59,17644
Telangana,662,9272
Telangana,359,23987
Uttar Pradesh,629,25004
Uttar Pradesh,135,13784
Uttar Pradesh,61,12137
Uttar Pradesh,866,17987
Uttar Pradesh,943,10215
Uttar Pradesh,942,7176
Uttar Pradesh,63,6145
Uttar Pradesh,14,40281
Uttar Pradesh,249,6325
Uttar Pradesh,724,6466
Uttar Pradesh,285,2600
Uttar Pradesh,1115,14010
Uttar Pradesh,288,24867
Uttar Pradesh,551,4199
Uttar Pradesh,701,35217
Uttar Pradesh,642,16984
Uttar Pradesh,179,3221
Uttar Pradesh,409,6241
Uttar Pradesh,756,19190
Uttar Pradesh,713,17377
Uttar Pradesh,815,169
Uttar Pradesh,142,11786
Uttar Pradesh,410,19402
Uttar Pradesh,532,5860
Uttar Pradesh,416,10171
Uttar Pradesh,907,0
Uttar Pradesh,60,31683
Uttar Pradesh,718,13252
Uttar Pradesh,490,2444
Uttar Pradesh,240,34570
Uttar Pradesh,941,31835
Uttar Pradesh,725,26415
Uttar Pradesh,10,21070
Uttar Pradesh,908,16310
Uttar Pradesh,476,10134
Uttar Pradesh,207,457
Uttar Pradesh,92,0
Uttar Pradesh,689,16899
Uttar Pradesh,282,6323
Uttar Pradesh,260,14082
Uttar Pradesh,189,17498
Uttar Pradesh,591,6548
Uttar Pradesh,438,10605
Uttar Pradesh,176,605
Uttar Pradesh,49,15378
Uttar Pradesh,176,21047
Uttar Pradesh,498,9941
West Bengal,394,4533
West Bengal,486,6385
West Bengal,456,14630
West Bengal,654,10225
West Bengal,629,7448
West Bengal,859,8585
West Bengal,603,320
West Bengal,238,7457
West Bengal,944,17201
West Bengal,849,30632
West Bengal,975,1249
West Bengal,377,4602
West Bengal,719,8734
West Bengal,1176,7572
West Bengal,700,7744
West Bengal,351,4745
West Bengal,689,19213
West Bengal,1082,15538
West Bengal,846,5831
West Bengal,822,5593
West Bengal,56,0
West Bengal,868,29279
West Bengal,522,19285
West Bengal,530,21503
West Bengal,696,17610
West Bengal,635,2254
West Bengal,784,6327
West Bengal,581,3693
West Bengal,656,8672
West Bengal,480,26071
West Bengal,647,8994
West Bengal,796,15069
West Bengal,435,7809
West Bengal,766,9222
West Bengal,731,11966
West Bengal,536,1958
West Bengal,638,26217
West Bengal,583,8789
West Bengal,717,21600
West Bengal,111,6345
West Bengal,584,0
West Bengal,489,19813
West Bengal,263,947
West Bengal,1013,23848
Assam,572,8876
Assam,607,5875
Assam,731,11373
Assam,411,8753
Assam,339,14191
Assam,506,14031
Assam,541,17393
Assam,331,6039
Assam,182,276
Assam,300,30737
Assam,493,10717
Assam,239,8108
Assam,610,16691
Assam,754,8261
Assam,81,2735
Assam,40,28011
Assam,446,16366
Assam,555,9441
Assam,922,16238
Assam,137,35038
Assam,523,17203
