property_id,city,property_type,bhk,area_sqft,age_years,floor,total_floors,furnishing_status,parking_spaces,has_gym,has_pool,has_lift,price_lakhs
PROP0291,Pune,Apartment,3,1379.9,2,8,11,Semi-Furnished,0,0,0,1,159.41
PROP0292,Hyderabad,Apartment,2,1023.6,4,4,13,Furnished,1,0,0,1,110.81
PROP0293,Kolkata,Villa,4,4417.0,7,0,2,Unfurnished,1,1,1,0,491.68
PROP0294,Delhi,Apartment,2,1083.7,7,5,15,Semi-Furnished,1,1,0,1,182.26
PROP0295,Mumbai,Penthouse,4,3259.4,1,15,24,Furnished,1,1,0,1,1250.22
PROP0296,Mumbai,Row House,3,1890.4,4,0,2,Unfurnished,1,0,1,0,414.18
PROP0297,Chennai,Penthouse,4,3728.4,4,24,27,,2,0,0,1,
PROP0298,Bangalore,Villa,4,2354.6,10,0,2,Semi-Furnished,0,0,0,0,389.53
PROP0299,Hyderabad,Row House,3,1525.9,6,0,2,Semi-Furnished,0,1,0,0,205.26
PROP0300,Pune,Apartment,2,1091.6,18,16,22,Furnished,1,1,0,1,91.17
